"CERSID","BusinessName","SiteAddress","City","ZipCode","NAICSCode","SICCode","ChemicalName","CommonName","CASNumber","AverageDailyAmount","MaximumDailyAmount","ChemicalLocation","EHS","PFCodeHazardClass","SFCodeHazardClass","TFCodeHazardClass","FFCodeHazardClass","FifthFireCodeHazardClass","SixthFireCodeHazardClass","SeventhFireCodeHazardClass","EighthFireCodeHazardClass","isMixture","HMType","MixtureComponentNumber","RadioActive","Curies","Unit","PhysicalState","LargestContainer","FHCFire","FHCReactive","FHCPressureRelease","FHCAcuteHealth","FHCChronicHealth","AnnualWasteAmount","StateWasteCode","DaysOnSite","SCAboveGroundTank","SCUnderGroundTank","SCTankInsideBuilding","SCSteelDrum","SCPlasticNonMetallicDrum","SCCan","SCCarboy","SCSilo","SCFiberDrum","SCBag","SCBox","SCCylinder","SCGlassBottle","SCPlasticBottle","SCToteBin","SCTankTruckTankWagon","SCTankCarRailCar","SCOther","OtherStorageContainer","StoragePressure","StorageTemperature","HC1PercentByWeight","HC1Name","HC1EHS","HC1CAS","HC2PercentByWeight","HC2Name","HC2EHS","HC2CAS","HC3PercentByWeight","HC3Name","HC3EHS","HC3CAS","HC4PercentByWeight","HC4Name","HC4EHS","HC4CAS","HC5PercentByWeight","HC5Name","HC5EHS","HC5CAS","ChemicalDescriptionComment","AdditionalMixtureComponents","CCLID","USEPASRSNumber","DOTHazClassID","KEEP"
"10263937","PARAMOUNT METALS & SUPPLY CO","8140 E ROSECRANS AVE # B","PARAMOUNT","90723","332","3446","NULL","LUBRICATING OIL - RIMULA OIL 30","NULL","55","55","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","0","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","315","NULL","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","HYDROTREATED PETROLEUM DISTILLATES (HEAVY PARAFFINIC)","N","64742-54-7","NULL","HYDROTREATED RESIDUAL OIL","NULL","64742-57-0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10271563","SAMTECH INTERNATIONAL INC","1130 E DOMINGUEZ ST # A","CARSON","90746","332","3443","Liquid spray wash cleaner","AllowClean 25036 ","7320-34-5","70","110","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","5","TETRASODIUM PYROPHOSPHATE","NULL","7320-34-5","5","Triathanolamine","NULL","102-71-6","5","Tetrasodium EDTA","NULL","64-02-8","5","DIETHYLENE GLYCOL MONOBUTYL ETHER","NULL","112-34-5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10313032","VANGUARD FABRICATION CORP","14578 HAWTHORNE AVE","FONTANA","92335","332","3400","Nitrogen","Nitrogen","7727-37-9","50","3060","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","255","NULL","NULL","NULL","NULL","NULL","NULL","NULL","90","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Unknown","Unknown","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","153122","2.2","INCLUDE"
"10240255","AEON MANUFACTURING CO INC","929 W 253RD ST","HARBOR CITY","90710","332","2039","Lubricating oils, used","Used lubricating oils","70514-12-4","1","20","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","385","223","30","Y","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","HOUGHTO-SAFE 416-R","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","68023","777573","3","INCLUDE"
"10182769","WEST STAR INDUSTRIES","4445 E FREMONT ST","STOCKTON","95215","332","3490","LIQUID NITROGEN","Liquid NITROGEN","7727-37-9","31688","39610","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Liquid","7.92E+03","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Below Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.2","INCLUDE"
"10509127","Aerospace Facilities Group, Inc.","1590 Raleys Ct Ste 30","West Sacramento","95691","336","NULL","Propane","Liquefied Petroleum Gas (lpg)","74-98-6","20","20","NULL","N","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Liquid","5","NULL","NULL","NULL","NULL","NULL","0","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5207","2.1","INCLUDE"
"10488238","Tolar Manufacturing Co., Inc.","258 Mariah Cir","Corona","92879","3133","3599","Acetylene","Acetylene","74-86-2","190","260","NULL","N","33","8","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","130","NULL","NULL","NULL","NULL","NULL","0","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2585","NULL","2.1","INCLUDE"
"10273621","CONTOUR METALS CORPORATION ","9705 KLINGERMAN ST","SOUTH EL MONTE","91733","3133","2599","ACETYLENE","ACETYLENE","74-86-2","280","280","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","280","NULL","NULL","NULL","NULL","NULL","0","162","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","2585","NULL","2.1","INCLUDE"
"10176665","Johnson United, Inc. / United Signs","5201 Pentecost","Modesto","95356","3133","3444","Argon / Co2","Argon / Co2 Welding Gas","NULL","150","4368","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","cubic feet","Gas","336","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","NULL","Above Ambient","Ambient","75","Argon","N","7440-37-1","25","Carbon Dioxide","N","124-38-9","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10290055","GOLDEN STATE ENGINEERING INC","15338 S GARFIELD AVE","PARAMOUNT","90723","3152","3542","ACETYLENE","ACETYLENE","","280","560","NULL","N","33","8","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","0","cubic feet","Gas","140","NULL","NULL","NULL","NULL","NULL","0","","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","","Above Ambient","Ambient","NULL",""," ","","NULL",""," ","","NULL",""," ","","NULL",""," ","","NULL",""," ","","","","NULL","","2.1","INCLUDE"
"10442482","Owens Brockway Glass Container Inc.","2901 Fruitland Ave","Vernon","90058","3221","NULL","Tin Dust","Recycled Tin Dust","","800","2400","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","pounds","Solid","400","NULL","NULL","NULL","NULL","NULL","5500","","365","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","","Ambient","Ambient","NULL",""," ","","NULL",""," ","","NULL",""," ","","NULL",""," ","","NULL",""," ","","","","NULL","","NULL","INCLUDE"
"10709050","Everett Graphics, Inc.","7300 Edgewater Dr","Oakland","94621","3222","2657","900064481 - DT2W US Thermal Positive CTP Developer","Thermal Positive CTP Developer","1310-58-3","NULL","20","NULL","N","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","2.5","NULL","NULL","NULL","NULL","NULL","NULL","122","365","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","","Ambient","Ambient","5","Potassium Hydroxide","N","1310-58-3","5","Glucitol","N","50-70-4","100","Water","N","7732-18-5","NULL",""," ","","NULL",""," ","","FUJIFILM Graphic Systems USA","","NULL","","8","INCLUDE"
"10687543","CCL Label - Sonoma","21481 8th St E Ste 15C","Sonoma","95476","3230","2752","2-butoxyethanol","FW 40 Anilox Cleaner (Alkaline cleaner)","11-76-2","0.08","30","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","5","NULL","NULL","NULL","NULL","NULL","NULL","123","365","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","NULL","Ambient","Ambient","20","Potassium hydroxide","N","1310-58-3","10","Erhanolamine","N","141-43-5","10","2-butoxyethanol","N","111-76-2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8","INCLUDE"
"10175785","G3 Enterprises, Inc.","2612 Crows Landing Rd","Modesto","95358","3231","NULL","NULL","Yellow Magic","NULL","55","110","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","135","365","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10389265","VAXIION THERAPEUTICS, INC","11585 Sorrento Valley Rd Ste 105","San Diego","92121","3254","0","NITROGEN LIQUID","NITROGEN LIQUID","7727-37-9","40","40","NULL","N","6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Liquid","40","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Cryogenic","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","2.2","INCLUDE"
"10267324","MAINTEX INC","13300 E. NELSON AVE","INDUSTRY","91746","3256","2819","ACETIC ACID 80%","ACETIC ACID 80%","64-197","50","450","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","","365","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","","Ambient","Ambient","NULL",""," ","","NULL",""," ","","NULL",""," ","","NULL",""," ","","NULL",""," ","","","","NULL","","8","INCLUDE"
"10463854","Storer Transportation Service","2100 B St","Marysville","95901","3260","4111","Low Foam APC","Bus Wash","NULL","55","110","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","0","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","0","NULL","365","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10179253","Storer Transportation Service","501 Beard","Modesto","95354","3260","4111","Diesel Exhaust Fluid","Diesel Exhaust Fluid","NULL","250","330","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","330","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","55 Gal Plastic Drum","Unknown","Unknown","32.5","Urea","N","57-13-6","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10521235","EVANS MANUFACTURING","7422 CHAPMAN AVE ","GARDEN GROVE","92841","3261","3089","Sodium Hydroxide","6321 Water Tower treatment","1310-73-2","55","55","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","NULL","90","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","SDS lists no fire danger.  Flashpoint > 200 degrees F.","","","","","INCLUDE"
"10308505","TANK HOLDING CORP.","135 E STANLEY ST","COMPTON","90220","3261","NULL","Ethene, homopolymer","Polyethylene","9002-88-4","30000","48000","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Unknown","NULL","NULL","NULL","pounds","Solid","800","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Not considered hazardous under 29 CFR 1910.1200","NULL","NULL","161182","9","INCLUDE"
"10637245","Bender Ready Mix Inc","13651 East Rosecrans Ave.","Santa Fe Springs","90670","3273","3273","AW Hydraulic Oil","Hydraulic Oil","64742-65-0","5","55","NULL","N","4","31","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","0","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","0","NULL","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","97","Petroleum Hydrocarbons","NULL","64742-65-0","3","Proprietary Additives","NULL","64742-65-0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10321486","RANCHO READY MIX, L.P","861 W 4th St","Beaumont","92223","3273","3273","Visctrol","Visctrol","NULL","150","275","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","275","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","7","water","N","7732-18-5","6","Naphthalene Sulfonate","N","36290-04-7","13","Welan gum","N","7212-88-1","NULL","NULL","N","96949-22-3","1","4-Chloro-3-methylphenol (PCMC)","N","59-50-7","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10474087","Protek Manufacturing, Inc.","4849 Southfront Rd","Livermore","94551","3312","3444","Argon, mixed with helium","ARGON  / HELIUM MIX","70355-95-2","330","330","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","330","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Ambient","Above Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17159658","NULL","INCLUDE"
"10181955","STOCKTON TRI INDUSTRIES, LLC","2141 E ANDERSON ST","STOCKTON","95205","3312","3441","Carbon Dioxide (CO2)","Carbon Dioxide (CO2)","124-38-9","2500","4690","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","50","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","33548","2.2","INCLUDE"
"10182353","NJ MCCUTCHEN  INC - PRIMARY","345 S MADISON ST","STOCKTON","95203","3324","3470","METHYL ETHYL KETONE/ACETONE MIX","ACE/MEK 4:1","78-93-3/67-64-1","25","55","NULL","N","11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","0","NULL","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","20","MEK","N","78-93-3","80","ACETONE","N","67-64-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10184223","NJ MCCUTCHEN  INC - PRIMARY","123 W SONORA ST","STOCKTON","95203","3324","3470","Petroleum oil, waste","waste oil","68815-10-1","110","220","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","660","221","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","478198","NULL","INCLUDE"
"10281034","PIEDRAS MACHINE CORP","15154 DOWNEY AVE # B","PARAMOUNT","90723","3327","3599","PROPANE","PROPANE","74-98-6","1497","2567","NULL","N","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","285","NULL","NULL","NULL","NULL","NULL","0","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.1","INCLUDE"
