OBJECTID,HUC12,Name,BioAqRankSW,BioAqSumSW,NtvAqRankSW,NtvAqSumSW,RarAqRankSW,RarAqSumSW,RwiAqRankSW,RwiAqMaxSW,NtvFish,NtvAqInvt,NtvAqAmph,NtvAqRept,RarFish,RarAqAmph,RarAqRept,RwiAqFishSWNorm,RwiAqAmphSWNorm,RwiAqReptSWNorm,Shape_Length,Shape_Area
12,1.80101E+11,Lake Earl,5,0.401668,5,0.777623,3,0.264151,1,0.01403407,17,0,9,5,2,2,0,0.01403407,0,0,46538.61182,75101714.43
13,1.80101E+11,Rowdy Creek,5,0.502653,5,0.83725,5,0.471698,1,0.012305695,12,39,9,5,3,4,0,0.01230569,0.008695652,0,49497.52854,85689484.91
14,1.80101E+11,Virgin Creek-Frontal Pacific Ocean,5,0.487517,5,0.651944,5,0.54717,4,0.082352966,12,0,9,4,3,3,1,0.01499307,0.082352974,0.01658986,51017.43721,39560155.17
15,1.80101E+11,Sprout Creek,5,0.359688,5,0.768818,2,0.169811,1,0.00683302,8,53,9,4,3,0,0,0.00683302,0,0,41927.29794,62147494.89
16,1.80101E+11,Fish Creek-South Fork Eel River,5,0.385558,5,0.600647,4,0.396226,2,0.016589861,8,0,9,4,3,1,1,0.00683302,0.008695652,0.01658986,33834.27219,58953268.76
17,1.80101E+11,Redwood Creek,5,0.383073,5,0.752952,3,0.245283,1,0.008695652,8,48,9,4,3,1,0,0.00683302,0.008695652,0,39916.6018,67274450.77
18,1.80101E+11,Ohman Creek-South Fork Eel River,5,0.455572,5,0.784683,4,0.396226,2,0.016589861,8,58,9,4,3,1,1,0.00683302,0.008695652,0.01658986,62683.38409,137086166.6
19,1.80101E+11,Monument Creek-Eel River,5,0.425017,5,0.636788,5,0.471698,1,0.008695652,13,0,8,4,3,4,0,0.00683302,0.008695652,0,38614.72489,62836801.49
20,1.80101E+11,Lower Larabee Creek,5,0.444769,5,0.680814,5,0.471698,2,0.016589861,10,26,8,4,3,2,1,0.00683302,0.008695652,0.01658986,54681.25668,104165741.4
21,1.80101E+11,Mill Creek-Mad River,5,0.521027,5,0.824658,5,0.528302,2,0.016589861,18,39,8,4,4,2,1,0.01476953,0.008695652,0.01658986,60670.02919,80116776.87
22,1.80101E+11,Jacoby Creek,5,0.503969,5,0.712809,5,0.566038,4,0.045867089,12,28,8,4,6,3,0,0.045867089,0.008695652,0,42532.16539,52305339.56
23,1.80101E+11,North Fork Mad River,5,0.434225,5,0.598315,5,0.528302,2,0.01476953,10,0,8,4,4,4,0,0.01476953,0.008695652,0,55334.84582,125887577.3
24,1.80102E+11,Mettah Creek-Klamath River,5,0.460406,5,0.741715,5,0.45283,2,0.0156614,19,0,9,4,4,3,0,0.0156614,0.008695652,0,64264.67742,90662153.25
25,1.80102E+11,Pecwan Creek,5,0.407985,5,0.798433,3,0.264151,1,0.009830445,16,30,9,4,2,2,0,0.009830445,0,0,39695.59094,71377520.99
26,1.80101E+11,Wilson Creek,5,0.463687,5,0.869377,4,0.339623,1,0.009830445,15,37,9,5,2,3,0,0.009830445,0,0,32790.53438,34406655.5
27,1.80101E+11,Hardscrabble Creek-Smith River,5,0.573556,5,0.903883,5,0.584906,3,0.01883656,12,60,9,5,5,4,0,0.01883656,0.008695652,0,40956.24291,72015733.3
28,1.80101E+11,Rock Creek,5,0.379526,5,0.662204,4,0.320755,2,0.014649045,8,0,9,5,3,2,0,0.01464904,0.008695652,0,30682.00969,41681460.67
29,1.80101E+11,Hurdygurdy Creek,5,0.4529,5,0.662204,5,0.509434,3,0.01883656,8,0,9,5,5,3,0,0.01883656,0.008695652,0,56527.4421,77447384.9
30,1.80101E+11,South Fork Big River,5,0.491964,5,0.787015,5,0.415094,5,0.091048576,6,58,10,4,2,2,1,0.0088955,0.091048583,0.01658986,68012.4681,141279054.6
31,1.80101E+11,Long Valley Creek,5,0.43284,5,0.574998,5,0.471698,5,0.091048576,6,0,9,4,3,2,1,0.00683302,0.091048583,0.01658986,45609.60782,69121470.82
32,1.80101E+11,Upper Noyo River,5,0.438606,5,0.590154,5,0.471698,5,0.091048576,5,0,10,4,3,2,1,0.01118908,0.091048583,0.01658986,41662.49351,70446164.98
33,1.80101E+11,Hollow Tree Creek,5,0.507783,5,0.771991,5,0.471698,5,0.091048576,8,54,9,4,3,4,0,0.00683302,0.091048583,0,55219.86008,108109370.6
34,1.80101E+11,Pipe Creek-Eel River,4,0.294823,5,0.598315,2,0.169811,1,0.00683302,10,0,8,4,3,0,0,0.00683302,0,0,61113.35775,101896324.5
35,1.80101E+11,Baker Creek-Van Duzen River,5,0.379792,5,0.585491,4,0.396226,2,0.016589861,9,0,8,4,3,1,1,0.00917637,0.008695652,0.01658986,57395.031,104059233.1
36,1.80101E+11,Bug Creek-Mad River,4,0.287383,5,0.559842,2,0.188679,1,0.00688279,7,0,8,4,2,1,0,0.00688279,0,0,61840.05975,132250957.9
37,1.80102E+11,Willow Creek,5,0.508294,5,0.715717,5,0.603774,2,0.016589861,10,37,8,4,4,3,1,0.01001847,0.008695652,0.01658986,56364.76651,112445396.4
38,1.80102E+11,Deerhorn Creek-Trinity River,5,0.37735,5,0.662437,4,0.320755,1,0.008695652,15,0,8,4,3,2,0,0.00772489,0.008695652,0,42262.5901,69250075.62
39,1.80102E+11,Tish Tang a Tang Creek,5,0.361005,5,0.738902,3,0.207547,1,0.002475247,13,41,7,4,1,2,0,0.002475247,0,0,47034.13989,77443482.6
40,1.80102E+11,Boise Creek-Klamath River,5,0.624001,5,0.824971,5,0.735849,4,0.079402745,16,56,7,4,5,4,1,0.04335181,0.079402737,0.01658986,64327.23232,126936899.6
41,1.80102E+11,Rock Creek,5,0.363231,5,0.626295,4,0.320755,1,0.00772489,10,0,9,4,3,2,0,0.00772489,0,0,45090.23589,86170942.56
42,1.80102E+11,Swillup Creek-Klamath River,5,0.520782,5,0.757363,5,0.566038,4,0.045505758,13,38,8,4,6,1,1,0.045505758,0.008695652,0.01658986,34787.04238,61381388.96
43,1.80102E+11,Tenmile Creek,4,0.27782,5,0.610346,1,0.113208,1,0.006712535,5,24,8,4,2,0,0,0.006712535,0,0,29034.45653,40729864.12
44,1.71003E+11,Lower East Fork Illinois River,3,0.225489,4,0.508544,1,0.075472,1,0.008695652,3,0,8,4,0,1,0,0,0.008695652,0,7505.832776,929684.5762
45,1.80101E+11,Buckeye Creek,5,0.426958,5,0.677509,3,0.283019,5,0.161755636,9,29,8,4,1,3,0,0.002645503,0.161755607,0,55583.92412,104181284.9
46,1.80101E+11,Burright Creek-East Fork Russian River,4,0.245673,4,0.478232,2,0.150943,2,0.016589861,5,0,6,4,0,0,1,0,0,0.01658986,56202.92551,120428406.6
47,1.80101E+11,Goforth Creek-Middle Fork Eel River,4,0.248252,4,0.475901,2,0.169811,1,0.00683302,7,0,5,4,3,0,0,0.00683302,0,0,31384.60964,42089612.66
48,1.80101E+11,Lower Tomki Creek,5,0.374012,5,0.655478,3,0.245283,4,0.082352966,6,43,7,4,3,1,0,0.00683302,0.082352974,0,53811.66267,82492244.49
49,1.80101E+11,Woodman Creek,4,0.278315,4,0.534193,2,0.188679,1,0.008695652,5,0,8,4,2,1,0,0.004939081,0.008695652,0,36642.159,64983837.73
50,1.80101E+11,Big Bend Creek-Eel River,4,0.319365,5,0.585491,3,0.245283,1,0.008695652,9,0,8,4,3,1,0,0.00683302,0.008695652,0,50742.29154,85352600.64
51,1.80101E+11,Casoose Creek,3,0.166413,3,0.437427,0,0,0,0,4,0,5,4,0,0,0,0,0,0,37909.29177,64498057.01
52,1.80101E+11,Barry Creek-Mad River,4,0.269506,4,0.465408,3,0.226415,2,0.016589861,4,0,6,4,0,1,1,0,0.008695652,0.01658986,48549.12443,112915846.2
53,1.80102E+11,Salt Creek,5,0.41615,5,0.624456,5,0.45283,2,0.016589861,7,38,6,4,4,1,1,0.01196218,0.008695652,0.01658986,74483.2864,149164135.1
54,1.80102E+11,Crapo Creek-Salmon River,4,0.320852,4,0.52953,4,0.301887,1,0.01196218,9,0,6,4,4,1,0,0.01196218,0.008695652,0,46209.89582,64681452.44
55,1.80102E+11,Upper North Fork Trinity River,5,0.339267,4,0.519037,4,0.358491,1,0.014255755,6,0,7,4,5,1,0,0.01425575,0,0,54895.23909,94759731.04
56,1.80102E+11,Butler Creek-Salmon River,5,0.384812,5,0.697653,4,0.301887,1,0.01196218,13,28,7,4,4,1,0,0.01196218,0.008695652,0,50524.08343,94736517.84
57,1.80102E+11,Oak Flat Creek-Klamath River,5,0.476986,5,0.623964,5,0.490566,5,0.139255747,12,0,8,4,6,2,0,0.139255702,0,0,41981.49054,84756745.47
58,1.80102E+11,Grider Creek,5,0.407187,5,0.665393,4,0.396226,1,0.008695652,9,34,7,4,3,3,0,0.00772489,0.008695652,0,57763.72332,111629043.4
59,1.80102E+11,Bittenbender Creek-Klamath River,5,0.371023,5,0.570334,4,0.396226,1,0.008695652,10,0,7,4,3,3,0,0.00772489,0.008695652,0,75605.86337,143311202.4
60,1.71003E+11,Carberry Creek,1,0.009758,1,0.025649,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4805.665973,785330.3731
61,1.805E+11,Abbotts Lagoon-Frontal Pacific Ocean,4,0.257212,4,0.52953,2,0.132075,2,0.01449275,9,0,6,4,1,1,0,0.00568182,0.01449275,0,81537.58838,43421707.14
62,1.805E+11,Tomales Bay,5,0.464852,5,0.580827,5,0.54717,5,0.093895473,13,0,6,4,3,3,1,0.01558146,0.093895473,0.01658986,73146.59296,120215358.8
63,1.805E+11,Estero De San Antonio,5,0.398673,5,0.649216,4,0.358491,4,0.040228046,11,12,8,4,1,2,1,0.00609756,0.04022805,0.01658986,73633.38888,134077847.4
64,1.80101E+11,Ward Creek-Austin Creek,5,0.566267,5,0.764731,5,0.54717,5,0.176566303,12,62,6,4,3,3,1,0.176566303,0.161755607,0.01658986,56637.11595,98481017.96
65,1.80101E+11,Lake Sonoma-Dry Creek,5,0.473517,5,0.648951,5,0.433962,5,0.161755636,9,20,8,4,1,3,1,0.003649635,0.161755607,0.01658986,63524.39518,112699958.4
66,1.80101E+11,Warm Springs Creek,5,0.431019,4,0.503881,5,0.45283,5,0.176248372,7,0,6,4,0,4,1,0,0.176248401,0.01658986,54879.0679,88741355.11
67,1.80101E+11,Gill Creek-Russian River,5,0.427486,5,0.76746,4,0.339623,2,0.016589861,13,50,7,4,2,1,1,0.005943215,0.008695652,0.01658986,60398.72063,105274896.7
68,1.80101E+11,West Slough-Dry Creek,5,0.522522,5,0.783457,5,0.45283,5,0.137193203,14,51,7,4,4,1,1,0.137193203,0.070707068,0.01658986,69389.661,109556590.1
69,1.80101E+11,Sausal Creek-Russian River,5,0.441272,5,0.608808,5,0.471698,4,0.079402745,13,0,7,4,3,2,1,0.016581509,0.079402737,0.01658986,54776.6795,119971858.7
70,1.80101E+11,Dooley Creek,4,0.287186,5,0.55751,2,0.188679,1,0.008695652,9,0,7,4,2,1,0,0.005943215,0.008695652,0,35983.52269,40635289.95
71,1.80201E+11,Clover Creek,3,0.225643,4,0.491057,1,0.056604,4,0.045454547,6,0,6,4,1,0,0,0.045454551,0,0,43448.27418,71528089.36
72,1.80101E+11,Baldy Creek-Black Butte River,4,0.301043,3,0.435096,4,0.339623,2,0.016589861,6,0,4,4,2,1,1,0.004939081,0.008695652,0.01658986,41733.00798,93099777.33
73,1.80101E+11,Red Chert Creek-Middle Fork Eel River,4,0.323463,3,0.437427,4,0.396226,2,0.016589861,4,0,5,4,3,1,1,0.00917637,0.008695652,0.01658986,38403.15928,60216387.22
74,1.80201E+11,Headwaters Grindstone Creek,3,0.156656,3,0.411779,0,0,0,0,2,0,5,4,0,0,0,0,0,0,49534.30259,99666895.14
75,1.80101E+11,Balm of Gilead Creek,4,0.306676,4,0.551657,3,0.245283,1,0.00917637,4,36,5,4,3,1,0,0.00917637,0.008695652,0,35219.68544,55664667.27
76,1.80202E+11,South Fork Beegum Creek,3,0.241002,3,0.439759,2,0.188679,1,0.00505135,2,0,6,4,2,1,0,0.00505135,0,0,44348.92666,88249985.48
77,1.80202E+11,Lower Beegum Creek,4,0.296861,5,0.582943,2,0.188679,1,0.008695652,5,33,6,4,2,1,0,0.00505135,0.008695652,0,49995.5976,65323834.93
78,1.80202E+11,Upper Cold Fork,3,0.189552,3,0.439759,1,0.056604,1,0.001886792,2,0,6,4,1,0,0,0.001886792,0,0,63683.45872,102744025.8
79,1.80102E+11,Conner Creek Trinity River,5,0.419639,4,0.501549,5,0.584906,2,0.016589861,9,0,5,4,5,2,1,0.01425575,0.008695652,0.01658986,68303.31225,155801502.8
80,1.80102E+11,Lower Browns Creek,5,0.449807,5,0.631644,5,0.509434,4,0.041268472,9,41,5,4,5,1,1,0.041268472,0.008695652,0.01658986,47145.25558,87110297.98
81,1.80102E+11,Upper Canyon Creek,5,0.410229,5,0.630093,5,0.433962,1,0.014255755,6,35,7,4,5,2,0,0.01425575,0,0,45843.30841,74322849.34
82,1.80102E+11,Garden Gulch-South Fork Salmon River,5,0.390337,5,0.636704,4,0.377358,1,0.01196218,8,29,7,4,4,2,0,0.01196218,0.008695652,0,57589.91564,96394308.23
83,1.80102E+11,Sugar Creek-Scott River,5,0.435231,5,0.655742,5,0.471698,2,0.016589861,8,35,7,4,3,2,1,0.00772489,0,0.01658986,58188.84489,101035436.9
84,1.80102E+11,Boulder Creek-Scott River,4,0.303472,4,0.544686,3,0.245283,1,0.00772489,8,0,7,4,3,1,0,0.00772489,0,0,32532.85763,51959311.96
85,1.80102E+11,French Creek,5,0.380724,5,0.652437,4,0.339623,1,0.008695652,7,38,7,4,2,3,0,0.004369187,0.008695652,0,44588.24173,86241313.14
86,1.80102E+11,Tompkins Creek-Scott River,5,0.343577,5,0.650105,3,0.245283,1,0.00772489,9,38,6,4,3,1,0,0.00772489,0,0,43495.2215,71366371.8
87,1.80102E+11,Little Humbug Creek-Klamath River,5,0.402636,5,0.650682,4,0.358491,4,0.049178977,9,47,5,4,5,1,0,0.04917898,0.008695652,0,35884.20089,50017274.36
88,1.71003E+11,Dutch Creek-Elliott Creek,3,0.193555,3,0.424603,1,0.075472,1,0.008695652,3,0,5,4,0,1,0,0,0.008695652,0,39175.06457,66219953.31
89,1.805E+11,San Pedro Creek-Frontal Pacific Ocean,5,0.373183,5,0.624721,4,0.339623,2,0.016589861,9,30,6,4,2,1,1,0.01428793,0.01449275,0.01658986,73692.79349,80831448.12
90,1.805E+11,Miller Creek-Frontal San Pablo Bay Estuaries,5,0.457955,5,0.6193,5,0.490566,5,0.093895473,16,0,6,4,2,3,1,0.009331455,0.093895473,0.01658986,79152.79402,74905793.29
91,1.805E+11,Petaluma River,5,0.519361,5,0.667857,5,0.566038,5,0.131276667,8,30,8,4,2,4,1,0.020891011,0.131276697,0.01658986,51634.34913,116185899.3
92,1.805E+11,Adobe Creek-Frontal San Pablo Bay Estuaries,5,0.56334,5,0.637281,5,0.641509,5,0.201983735,8,38,6,4,2,5,1,0.020891011,0.201983705,0.01658986,84988.06473,80158626.98
93,1.80101E+11,Maacama Creek,5,0.603626,5,0.821137,5,0.603774,5,0.161755636,11,75,7,4,4,3,1,0.137193203,0.161755607,0.01658986,59221.56609,119951510.2
94,1.80202E+11,Big Canyon Creek-Putah Creek,4,0.285093,4,0.519037,2,0.150943,4,0.079402745,6,0,7,4,0,2,0,0,0.079402737,0,65132.7702,84426757.4
95,1.80201E+11,Thurston Lake,4,0.261196,4,0.519037,2,0.150943,2,0.016589861,6,0,7,4,0,0,1,0,0,0.01658986,37503.81907,46658108.94
96,1.80201E+11,Twin Valley Creek-North Fork Cache Creek,4,0.325085,5,0.6115,3,0.226415,2,0.016589861,5,42,6,4,0,1,1,0,0.008695652,0.01658986,55097.19472,103696399.6
97,1.80201E+11,Middle Fork Stony Creek,3,0.233391,4,0.529313,1,0.075472,1,0.008695652,3,33,5,4,0,1,0,0,0.008695652,0,43342.59277,82615407.33
98,1.80201E+11,Lower Grindstone Creek,4,0.269506,4,0.465408,3,0.226415,2,0.016589861,4,0,6,4,0,1,1,0,0.008695652,0.01658986,58527.10993,92045085.23
99,1.80202E+11,Middle Dry Creek,2,0.15089,3,0.396623,0,0,0,0,3,0,4,4,0,0,0,0,0,0,59372.32491,64458083.69
100,1.80102E+11,Middle East Fork Trinity River,4,0.243557,4,0.480564,2,0.150943,1,0.008695652,3,0,7,4,0,2,0,0,0.008695652,0,31814.77668,51587067.49
101,1.80102E+11,McAdam Creek,3,0.241304,4,0.516705,1,0.113208,1,0.004369187,8,0,6,4,2,0,0,0.004369187,0,0,44736.53791,69684050.08
102,1.80102E+11,Humbug Creek,4,0.258349,4,0.501549,2,0.169811,1,0.00772489,9,0,5,4,3,0,0,0.00772489,0,0,43823.46194,95685363.03
103,1.80102E+11,Bunton Hollow Creek-Shasta River,4,0.308501,4,0.473569,4,0.320755,2,0.016589861,9,0,4,4,3,0,1,0.00772489,0,0.01658986,60516.05015,106749727.6
104,1.805E+11,Arroyo Leon,4,0.310056,5,0.668434,2,0.132075,2,0.01449275,8,39,7,4,1,1,0,0.003649635,0.01449275,0,50685.10762,74431330.8
105,1.805E+11,Cordileras Creek-Frontal San Francisco Bay Estuaries,5,0.460446,5,0.608808,5,0.490566,5,0.110935085,13,0,7,4,2,3,1,0.009331455,0.110935099,0.01658986,73657.8163,113762799.9
106,1.805E+11,Angel Island-San Francisco Bay Estuaries,5,0.441678,5,0.660682,5,0.415094,5,0.085199796,17,9,6,4,2,2,1,0.009331455,0.085199803,0.01658986,320713.9133,61639969.19
107,1.805E+11,American Canyon Creek-Frontal San Pablo Bay Estuaries,5,0.395445,5,0.657773,4,0.358491,3,0.023188403,19,0,6,4,1,2,1,0.00568182,0.023188399,0.01658986,74583.57558,78346385.77
108,1.805E+11,Pinole Creek-Frontal San Pablo Bay Estuaries,5,0.522845,5,0.768301,5,0.471698,5,0.13433145,15,51,6,4,3,2,1,0.134331405,0.023188399,0.01658986,139784.509,145712442.9
109,1.805E+11,Chiles Creek,5,0.375855,4,0.516705,4,0.377358,5,0.093895473,8,0,6,4,0,3,1,0,0.093895473,0.01658986,57600.07332,82972726.31
110,1.80202E+11,Upper Eticuera Creek,4,0.26374,4,0.450252,3,0.226415,2,0.016589861,5,0,5,4,0,1,1,0,0.008695652,0.01658986,42355.34509,66937567.06
111,1.80201E+11,Funks Creek,4,0.320787,4,0.532794,2,0.150943,5,0.159471914,11,0,3,5,0,0,1,0,0,0.159471899,75973.18274,75287864.16
112,1.80201E+11,Middle South Fork Willow Creek,3,0.188058,4,0.494321,0,0,0,0,8,0,3,5,0,0,0,0,0,0,110395.8098,87455630.77
113,1.80202E+11,Sour Grass Creek,3,0.160736,3,0.422505,0,0,0,0,12,0,3,3,0,0,0,0,0,0,46383.93813,63949720.83
114,1.80202E+11,Jewett Creek,3,0.215484,4,0.448153,1,0.113208,1,0.00505135,14,0,3,3,2,0,0,0.00505135,0,0,64697.71515,43761224.83
115,1.80202E+11,Pine Creek-South Fork Cottonwood Creek,4,0.244631,4,0.463309,2,0.169811,1,0.00990572,13,0,4,3,3,0,0,0.00990572,0,0,50466.89057,66356557.7
116,1.80202E+11,Spring Creek-Sacramento River,5,0.412925,5,0.604144,5,0.45283,3,0.028424235,17,0,5,4,4,1,1,0.028424241,0.008695652,0.01658986,68641.33498,105525410.9
117,1.80202E+11,Olney Creek-Sacramento River,5,0.521201,5,0.813283,5,0.528302,3,0.028424235,14,41,7,5,4,2,1,0.028424241,0.023188399,0.01658986,50804.20761,85581559.53
118,1.80202E+11,Basin Hollow Creek-Cow Creek,5,0.455064,5,0.79038,4,0.377358,3,0.028424235,14,62,6,4,4,0,1,0.028424241,0,0.01658986,63052.97606,60244709.46
119,1.802E+11,Mosquito Creek-Sacramento River,4,0.322216,5,0.603959,3,0.226415,2,0.016589861,6,25,5,5,0,1,1,0,0.008695652,0.01658986,36742.19043,37388797.8
120,1.802E+11,Charlie Creek-Sacramento River,3,0.241368,4,0.550282,1,0.075472,1,0.008695652,8,0,5,5,0,1,0,0,0.008695652,0,45218.81754,74556494.59
121,1.802E+11,Deer Creek-Sacramento River,4,0.251906,4,0.502511,2,0.150943,1,0.008695652,1,15,7,4,0,2,0,0,0.008695652,0,55937.10657,81477106.78
122,1.802E+11,Hazel Creek,4,0.307579,5,0.565486,3,0.226415,2,0.016589861,3,25,5,5,0,1,1,0,0,0.01658986,35014.44289,56816651.12
123,1.802E+11,Tuna Creek-McCloud River,3,0.221852,4,0.498984,1,0.075472,1,0.008695652,4,0,5,5,0,1,0,0,0.008695652,0,27909.81823,39910041.15
124,1.80102E+11,Big Springs Creek-Shasta River,4,0.319535,4,0.502571,4,0.320755,2,0.016589861,8,22,3,4,3,0,1,0.00772489,0,0.01658986,95891.59982,115877822.7
125,1.80102E+11,Brush Creek-Klamath River,5,0.358221,3,0.356051,5,0.45283,5,0.132724896,9,0,2,3,4,1,1,0.132724896,0.008695652,0.01658986,59482.76501,89503263.03
126,1.806E+11,San Jose Creek,5,0.409007,5,0.667684,4,0.358491,4,0.048923697,8,37,5,5,1,4,0,0.004273504,0.048923701,0,36611.43123,37229512.2
127,1.806E+11,Zayante Creek-San Lorenzo River,5,0.505298,5,0.743746,5,0.490566,5,0.093895473,6,62,8,4,2,3,1,0.009899635,0.093895473,0.01658986,55782.32248,140891245.3
128,1.805E+11,Lower Penitencia Creek-Frontal San Francisco Bay Estuaries,5,0.366789,5,0.565407,4,0.358491,4,0.040228046,12,8,5,4,1,2,1,0.003649635,0.04022805,0.01658986,44922.0084,78746877.06
129,1.805E+11,Pine Creek,5,0.401147,5,0.628158,4,0.377358,4,0.048923697,11,23,6,4,0,3,1,0,0.048923701,0.01658986,46374.03159,80805471.71
130,1.805E+11,Suisun Bay Islands,4,0.275862,5,0.588988,1,0.113208,3,0.022923199,18,0,4,4,2,0,0,0.022923199,0,0,56660.43924,10525348.72
131,1.805E+11,Suisun Bay,5,0.443571,5,0.760135,4,0.377358,3,0.028459625,20,0,7,5,4,0,1,0.028459631,0,0.01658986,178514.9407,122714229.2
132,1.805E+11,Ledgewood Creek,4,0.269399,5,0.623964,1,0.075472,1,0.008695652,12,0,8,4,0,1,0,0,0.008695652,0,41029.33084,45687898.71
133,1.80201E+11,Salt Creek,3,0.219992,5,0.578262,0,0,0,0,8,0,6,5,0,0,0,0,0,0,37895.47126,57702164.55
134,1.80202E+11,McCune Creek-Putah Creek,5,0.338853,5,0.591087,3,0.283019,2,0.016589861,9,0,6,5,1,1,1,0.001886792,0.008695652,0.01658986,73022.25761,77865201.73
135,1.80201E+11,Oat Creek,5,0.357601,5,0.62956,2,0.150943,5,0.159471914,12,0,6,5,0,0,1,0,0,0.159471899,67662.71226,71755325.86
136,1.80202E+11,Angel Slough,5,0.354187,4,0.507379,3,0.264151,5,0.159471914,16,0,2,4,2,0,1,0.00505135,0,0.159471899,100416.5826,68304292.12
137,1.80202E+11,Drumheller Slough-Butte Creek,5,0.463574,5,0.627377,5,0.415094,5,0.176061764,16,29,3,4,2,0,2,0.00505135,0,0.176061794,199506.1634,720055069.4
138,1.80202E+11,Little Chico Creek,5,0.53257,5,0.865338,4,0.358491,5,0.176061764,15,71,5,5,1,0,2,0.001886792,0,0.176061794,106102.2769,121751094.4
139,1.80202E+11,Hoag Slough-Sacramento River,4,0.325901,5,0.601812,3,0.226415,3,0.028424235,19,0,4,4,4,0,0,0.028424241,0,0,97727.88503,116623411.6
140,1.80202E+11,Brush Creek,3,0.232575,5,0.552847,1,0.056604,1,0.001886792,13,0,5,4,1,0,0,0.001886792,0,0,33985.09959,51494945.53
141,1.80202E+11,Upper Paynes Creek,3,0.234604,4,0.475901,2,0.132075,1,0.008695652,7,0,5,4,1,1,0,0.001886792,0.008695652,0,62936.51184,66435901.88
142,1.80202E+11,Lower South Cow Creek,5,0.399614,5,0.637593,4,0.396226,2,0.016589861,6,55,5,4,3,1,1,0.00990572,0.008695652,0.01658986,67187.72686,122519538.3
143,1.80202E+11,Clover Creek,5,0.524671,5,0.712148,5,0.415094,5,0.251886815,7,48,8,4,2,2,1,0.251886815,0.008695652,0.01658986,95597.29935,139118332.3
144,1.80202E+11,Cedar Creek,4,0.245685,4,0.48616,2,0.150943,1,0.008695652,3,0,5,5,0,2,0,0,0.008695652,0,55003.73572,60957297.33
145,1.802E+11,Bald Mountain Creek-McCloud River,4,0.271658,5,0.638598,1,0.075472,0,0,4,44,5,5,0,1,0,0,0,0,50061.1464,69235844.23
146,1.80102E+11,Blue Canyon,2,0.088529,2,0.232704,0,0,0,0,2,0,3,2,0,0,0,0,0,0,30505.48535,53223961.58
147,1.802E+11,Trout Creek,2,0.145496,2,0.27584,1,0.056604,4,0.050000001,1,0,5,2,1,0,0,0.050000001,0,0,53078.02602,75550590.56
148,1.806E+11,Limekiln Creek-Frontal Pacific Ocean,5,0.382403,5,0.717876,3,0.283019,1,0.004273504,8,44,6,5,1,1,1,0.004273504,0,0,77958.84965,102809863
149,1.806E+11,Tularcitos Creek,4,0.279216,4,0.48616,3,0.207547,4,0.040228046,3,0,5,5,1,2,0,0.004273504,0.04022805,0,58780.12808,145763900.9
150,1.806E+11,Cachagua Creek,5,0.397373,4,0.48616,5,0.509434,4,0.048923697,3,0,5,5,1,4,1,0.004273504,0.048923701,0.01658986,56216.89735,121158587.5
